player_id,team_id,num_games,pts,avg_pts,fgm,fga,fg%,avg_fgm,avg_fga,3pm,3pa,3p%,avg_3pm,avg_3pa,2pm,2pa,2p%,avg_2pm,avg_2pa,ftm,fta,ft%,avg_ftm,avg_fta,oreb,dreb,reb,avg_oreb,avg_dreb,avg_reb,ast,avg_ast,stl,avg_stl,tov,avg_tov,blk,avg_blk,pf,avg_pf,pir,avg_pir
lions-mychelle,dropbears,2,0,0.0,0,12,0.0,0.0,6.0,0,4,0.0,0.0,2.0,0,8,0.0,0.0,4.0,0,0,,0.0,0.0,0,2,2,0.0,1.0,1.0,1,0.5,1,0.5,3,1.5,0,0.0,0,0.0,-11,-5.5
lions-mychelle,lions,4,45,11.25,17,68,0.25,4.25,17.0,3,11,0.272727272727273,0.75,2.75,14,57,0.245614035087719,3.5,14.25,8,10,0.8,2.0,2.5,10,13,23,2.5,3.25,5.75,8,2.0,12,3.0,12,3.0,0,0.0,4,1.0,19,4.75
lions-obi,lions,1,8,8.0,4,4,1.0,4.0,4.0,0,0,,0.0,0.0,4,4,1.0,4.0,4.0,0,0,,0.0,0.0,11,1,12,11.0,1.0,12.0,9,9.0,1,1.0,2,2.0,0,0.0,0,0.0,28,28.0
lions-saulius,lions,3,19,6.33333333333333,5,19,0.263157894736842,1.66666666666667,6.33333333333333,0,2,0.0,0.0,0.666666666666667,5,17,0.294117647058824,1.66666666666667,5.66666666666667,9,13,0.692307692307692,3.0,4.33333333333333,10,39,49,3.33333333333333,13.0,16.3333333333333,7,2.33333333333333,7,2.33333333333333,8,2.66666666666667,1,0.333333333333333,7,2.33333333333333,50,16.6666666666667
lions-telle,lions,3,13,4.33333333333333,5,18,0.277777777777778,1.66666666666667,6.0,0,0,,0.0,0.0,5,18,0.277777777777778,1.66666666666667,6.0,3,6,0.5,1.0,2.0,5,6,11,1.66666666666667,2.0,3.66666666666667,4,1.33333333333333,2,0.666666666666667,4,1.33333333333333,0,0.0,4,1.33333333333333,6,2.0
lions-tony,lions,1,12,12.0,4,11,0.363636363636364,4.0,11.0,4,9,0.444444444444444,4.0,9.0,0,2,0.0,0.0,2.0,0,0,,0.0,0.0,0,2,2,0.0,2.0,2.0,4,4.0,1,1.0,2,2.0,0,0.0,0,0.0,10,10.0
lostangels-aldis,lostangels,7,29,4.14285714285714,9,47,0.191489361702128,1.28571428571429,6.71428571428571,4,24,0.166666666666667,0.571428571428571,3.42857142857143,5,23,0.217391304347826,0.714285714285714,3.28571428571429,5,10,0.5,0.714285714285714,1.42857142857143,5,29,34,0.714285714285714,4.14285714285714,4.85714285714286,15,2.14285714285714,6,0.857142857142857,12,1.71428571428571,4,0.571428571428571,7,1.0,26,3.71428571428571
lostangels-carlos,lostangels,5,57,11.4,27,41,0.658536585365854,5.4,8.2,0,0,,0.0,0.0,27,41,0.658536585365854,5.4,8.2,3,10,0.3,0.6,2.0,18,26,44,3.6,5.2,8.8,5,1.0,4,0.8,8,1.6,5,1.0,4,0.8,82,16.4
lostangels-carlotta,burritos,1,4,4.0,2,7,0.285714285714286,2.0,7.0,0,0,,0.0,0.0,2,7,0.285714285714286,2.0,7.0,0,0,,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,2,2.0,4,4.0,0,0.0,1,1.0,-4,-4.0
lostangels-carlotta,camdenhells,1,2,2.0,1,3,0.333333333333333,1.0,3.0,0,0,,0.0,0.0,1,3,0.333333333333333,1.0,3.0,0,0,,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,-1,-1.0
